data_id,treat,age,education,married,black,hispanic,white,nodegree,re75,re78,age_level,education_level,race,propensity_score,iptw,increased_earning_75_to_78,employed_in_78
Lalonde Sample,1.0,37.0,11.0,1.0,1.0,0.0,0,1.0,0.0,9930.046,2,1,black,0.5042598391744406,1.983104586788372,1,1
Lalonde Sample,1.0,22.0,9.0,0.0,0.0,1.0,0,1.0,0.0,3595.894,0,0,hispanic,0.48158097035956593,2.076494009415205,1,1
Lalonde Sample,1.0,30.0,12.0,0.0,1.0,0.0,0,0.0,0.0,24909.45,2,1,black,0.5275680134548613,1.8954902012564112,1,1
Lalonde Sample,1.0,27.0,11.0,0.0,1.0,0.0,0,1.0,0.0,7506.146,1,1,black,0.497983810224586,2.0080974109359286,1,1
Lalonde Sample,1.0,33.0,8.0,0.0,1.0,0.0,0,1.0,0.0,289.7899,2,0,black,0.48635500333732756,2.056111262633433,1,1
Lalonde Sample,1.0,22.0,9.0,0.0,1.0,0.0,0,1.0,0.0,4056.494,0,0,black,0.48755556251502447,2.05104828430541,1,1
Lalonde Sample,1.0,23.0,12.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,1,black,0.5254925295287598,1.902976624418922,0,0
Lalonde Sample,1.0,32.0,11.0,0.0,1.0,0.0,0,1.0,0.0,8472.158,2,1,black,0.49947047595182215,2.002120341736591,1,1
Lalonde Sample,1.0,22.0,16.0,0.0,1.0,0.0,0,0.0,0.0,2164.022,0,3,black,0.5429991029532508,1.84162366854977,1,1
Lalonde Sample,1.0,33.0,12.0,1.0,0.0,0.0,1,0.0,0.0,12418.07,2,1,white,0.53698796636147,1.8622391238593539,1,1
Lalonde Sample,1.0,19.0,9.0,0.0,1.0,0.0,0,1.0,0.0,8173.908,0,0,black,0.48666414985482737,2.054805147036825,1,1
Lalonde Sample,1.0,21.0,13.0,0.0,1.0,0.0,0,0.0,0.0,17094.64,0,2,black,0.5293582387036897,1.88907988368866,1,1
Lalonde Sample,1.0,18.0,8.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0,0,black,0.4818994985347056,2.075121478732939,0,0
Lalonde Sample,1.0,27.0,10.0,1.0,1.0,0.0,0,1.0,0.0,18739.93,1,0,black,0.4968145670331388,2.0128234282093773,1,1
Lalonde Sample,1.0,17.0,7.0,0.0,1.0,0.0,0,1.0,0.0,3023.879,0,0,black,0.4771381365823861,2.095829118088809,1,1
Lalonde Sample,1.0,19.0,10.0,0.0,1.0,0.0,0,1.0,0.0,3228.503,0,0,black,0.4911339811425662,2.0361042778461718,1,1
